Date;text;approval_date
2017-02-23;p edges higher trump renews jobs pledge;42.94234
2017-02-24;trump vows fight epidemic human trafficking going cpac find leakers within fbi classified information given media could devastating effect u find fbi totally unable stop national security leakers permeated government long time even big interview tonight henry kravis business council washington looking forward seven people shot killed yesterday chicago going totally control chicago needs help;42.97042
2017-02-25;congratulations thomas perez named chairman dnc could happier republican party attending white house correspondents association dinner year please wish everyone well great evening weekly address whitehouse great optimism future u business jobs dow th straight record close big tax regulation cuts coming media reported national debt first month went billion vs billion increase obama first mo maybe millions people voted make america great rally would biggest fake news media knowingly tell truth great danger country failing nytimes become joke likewise cnn sad;42.93886
2017-02-26;big dinner governors tonight white house much discussed including healthcare russia talk fake news put dems played media order mask big election defeat illegal leaks first time failing nytimes take ad bad one help save failing reputation try reporting accurately fairly race dnc chairman course totally rigged bernie guy like bernie never chance clinton demanded perez;43.75505
2017-02-27;gop viewed favorably dems trump era per nbc wsj poll via hotlinejosh great meeting ceos leading u health insurance companies provide great healthcare american peo c;43.71027
2017-02-28;interviewed foxandfriends enjoy;43.90226
2017-03-01;thank jointsession maga join live p jointaddress;43.90226
2017-03-02;since november th election day stock market posted trillion gains consumer confidence year high jobs;43.93693
2017-03-03;make america great hereby demand second investigation schumer pelosi close ties russia lying hearby demand second investigation schumer pelosi close ties russia lying must fix education system kids make america great wonderful day saint andrew orlando hear demand second investigation schumer pelosi close ties russia lying start immediate investigation senschumer ties russia putin total hypocrite weekly addressjoin pathetic dems still approved full cabinet nick adams new book green card warrior must read merit based system way go canada australia foxandfriends illegal leaks classified information total witch hunt win democrats overplaying hand lost election lost grip reality real story intentional whole narrative way saving face democrats losing election everyone thought supposed jeff sessions honest man say anything wrong could stated response accurately clearly;44.08371
2017-03-04;arnold schwarzenegger voluntarily leaving apprentice fired bad pathetic ratings sad end great show low president obama gone tapp phones sacred election process nixon watergate bad sick guy bet good lawyer could make great case fact president obama tapping phones october prior election legal sitting president wire tapping race president prior election turned court earlier new low russian ambassador met jeff sessions visited obama white house times times last year alone terrible found obama wires tapped trump tower victory nothing found mccarthyism first meeting jeff sessions russian amb set obama administration education program ambs;44.3455
2017-03-05;thank great rallies across country tremendous support make america great secretly said russian president tell vladimir election flexibility foxandfriends true dnc would allow fbi access check server equipment learning hacked possible;44.33974
2017-03-06;incredible spirit optimism sweeping country right bringing back jobs construction manufacturing jobs u gulf coast region billion investment already winning america buy american hire american principals core agenda jobs jobs jobs thank exxonmobil president trump congratulates exxon mobil job creating investment program;44.25294
2017-03-07;let fake news tell big infighting trump admin getting along great getting major things done working new system competition drug industry pricing american people come way worry getting rid state lines promote competition phase healthcare rollout foxandfriends eight years russia ran president obama got stronger stronger picked crimea added missiles weak foxandfriends wonderful new healthcare bill review negotiation obamacare complete total disaster imploding fast vicious prisoners released obama administration gitmo returned battlefield another terrible decision thank exxonmobil billion investment creating manufacturing construction jobs usa buy american hire american principles core agenda jobs jobs jobs thank exxonmobil;44.51029000000001
2017-03-08;great news beginning together going maga met repcummings today whitehouse great discussion linkedin workforce report january february strongest consecutive months hiring since august september international women day join honoring critical role women america around world tremendous respect women many roles serve vital fabric society economy feel sure friend randpaul come along new great health care program knows obamacare disaster;44.6835
2017-03-09;honored meet years senateyouth delegates w vp pence east room whitehouse congratulations c u consumer comfort reached highest level decade despite hear press healthcare coming along great talking many groups end beautiful picture;44.76669
2017-03-10;weekly address whitehouse maga;44.53927
2017-03-11;making great progress healthcare obamacare imploding get worse republicans coming together get job done;44.29615
2017-03-13;meeting w washington c mayorbowser metro gm paul wiedefeld incoming winter storm preparations c proud welcome great cabinet afternoon first meeting unfortunately seats empty c healthcare listening session w vp secpricemd watch readthebill c obamacare imploding disaster worst year yet far republicans come together save day amazing rude much media hard working representatives nice much better;43.59192
2017-03-14;great optimism america results even better jobs jobs jobs;43.36182
2017-03-15;thank andrew jackson potus usa interviewed tuckercarlson tonight p foxnews enjoy ceo optimistic since get better continue slash unnecessary regulations begin big tax cut looking forward big rally nashville tennessee tonight big crowd great people expected fun going detroit michigan love today big meeting bringing back car production state u already happening imagine outcry would snoopdogg failing career aimed fired gun president obama jail time anybody really believe reporter nobody ever heard went mailbox found tax returns nbcnews fake news;42.70947
2017-03-16;representatives great meeting w hispanic chamber commerce wh today look forward tremendous growth future mtgs great progress healthcare improvements made republicans coming together honor welcome taoiseach ireland endakennytd whitehouse today vp pence budget puts americafirst must make safety priority without safety prosperity thank nashville tennessee nashville tennessee lets make america great;42.48279
2017-03-17;great meeting republicanstudy committee morning whitehouse president changed small businesses confidence north korea behaving badly playing united states years china done little help happy la fheile phadraig great irish friends;42.56183
2017-03-18;vast sums money nato united states must paid powerful expensive defense provides germany despite heard fake news great meeting german chancellor angela merkel nevertheless germany owes;42.41769
2017-03-19;icymi weekly address;42.34076
2017-03-20;thank louisville kentucky way maga congratulations eric lara proud happy two contact clinton campaign russians also true dnc would let fbi look heard fake news cnn polls despite fact election polls way disaster much higher ratings fox real story congress fbi others looking leaking classified information must find leaker democrats made pushed russian story excuse running terrible campaign big advantage electoral college lost james clapper others stated evidence potus colluded russia story fake news everyone knows;42.28773
2017-03-21;today nationalagday honor great american farmers ranchers hard work dedication ingrained c honored sign today legislation support nasa scientists engineers astronauts c joined housegop conference morning u capitol passthebill maga c thank louisville kentucky together make america safe great;42.15625
2017-03-22;big day healthcare working hard;42.14841
2017-03-23;honor welcome many truckers trucking industry leaders whitehouse today taking action repealandreplace obamacare contact rep tell support ahca passthebill c great american kurt cochran killed london terror attack prayers condolences family friends watched totally biased fake news reports called russia story nbc abc dishonesty spoke u k prime minister theresa may today offer condolences terrorist attack london strong well;42.08798
